Example flight number,Flight number used for lookup,Lookup status,Number of legs,First leg departure airport IATA,Last leg arrival airport IATA,Distance in kilometers
ENT4766,ENT4766,OK,1,AYT,SZZ,2224.25
FR9663,FR9663,OK,1,BCN,KRK,1679.76
BA812,BA812,OK,1,LHR,CPH,979.71
LO3923,LO3923,OK,1,WAW,KRK,246.32
FR4396,FR4396,OK,1,ARN,MMX,531.52
FR6085,FR6085,OK,1,STN,GDN,1244.54
FR4689,FR4689,OK,1,ALC,ARN,2711.33
FR1901,FR1901,OK,1,DUB,KRK,1820.52
LH406,LH406,OK,1,MUC,EWR,6504.22
WF666,WF666,OK,1,TRD,EVE,616.72
FR6085,FR6085,OK,1,STN,GDN,1244.54
FR1006,FR1006,OK,1,OTP,STN,2068.68
KL0781,KL0781,FAIL,0,,,0
W61368,W61368,OK,1,CPH,WAW,664.87
W61340,W61340,OK,1,BRI,WAW,1266.77
FR1006,FR1006,OK,1,OTP,STN,2068.68
FR2169,FR2169,OK,1,BCN,PMI,201.87
AF0257,AF0257,FAIL,0,,,0
FR6215,FR6215,OK,1,DTM,KRK,870.44
FR7150,FR7150,OK,1,MRS,MAD,796.36
DK1555,DK1555,OK,1,LPA,OSL,4105.88
MH0852,MH0852,FAIL,0,,,0
FR1641,FR1641,OK,1,BZG,LTN,1246.4
LH840,LH840,OK,1,FRA,BLL,637.09
W61332,W61332,OK,1,FUE,WAW,3894.76
FR2466,FR2466,OK,1,STN,SZZ,1003.78
W61332,W61332,OK,1,FUE,WAW,3894.76
W61368,W61368,OK,1,CPH,WAW,664.87
FR4689,FR4689,OK,1,ALC,ARN,2711.33
LO004,LO004,FAIL,0,,,0
DK1555,DK1555,OK,1,LPA,OSL,4105.88
DK1555,DK1555,OK,1,LPA,OSL,4105.88
UU972,UU972,OK,1,CDG,RUN,9371.12
FR7606,FR7606,OK,1,WRO,ARN,953.78
W61332,W61332,OK,1,FUE,WAW,3894.76
W61284,W61284,OK,1,TLV,KTW,2431.68
FT1503,FT1503,FAIL,0,,,0
FR2650,FR2650,OK,1,STN,DRS,938.96
W65042,W65042,OK,1,BGO,KRK,1459.38
TK0084,TK0084,FAIL,0,,,0
AY0121,AY0121,FAIL,0,,,0
W65042,W65042,OK,1,BGO,KRK,1459.38
FR2812,FR2812,OK,1,STN,BLL,724.13
VY6229,VY6229,OK,1,LGW,FCO,1405.67
FR5892,FR5892,OK,1,KRK,EIN,1024.16
TVP7313,TVP7313,OK,1,FUE,KTW,3689.18
W62405,W62405,OK,1,BUD,GOT,1229.73
LAOI6W,LAOI6W,FAIL,0,,,0
LH2420,LH2420,OK,1,MUC,ARN,1316.77
